,LICENSENO,LICSTATUS,LICCAT,LICCATDESC,Address_Complete,Location_Complete
486,LB-99177,Active,CV7AL,CV7 All Alc.,High ST Boston MA,"(42.3566855, -71.0515196)"
487,LB-99415,Active,CV7AL,CV7 All Alc.,Charles ST Boston MA,"(42.3003827, -71.0624746)"
488,LB-99229,Active,CV7AL,CV7 All Alc.,Canal ST Boston MA,"(42.3655034, -71.0611978)"
489,LB-101645,Active,INNAL,Inn. All Alc.,Harborside DR East Boston MA,"(42.361295, -71.0255003)"
490,LB-99019,Active,CV7AL,CV7 All Alc.,Commonwealth Av Boston MA,"(42.3491501, -71.0876189)"
491,LB-101643,Active,INNAL,Inn. All Alc.,Avenue De Lafayette Boston MA,"(42.35316, -71.060721)"
492,LB-99542,Active,CV7MW,CV7 Malt Wine,Westland AV Boston MA,"(42.3433386, -71.0860414)"
493,LB-101566,Active,GOPAL,GOP All Alc.,Warrenton St Boston MA,"(42.3502692, -71.0660021)"
494,LB-99595,Active,CV7MW,CV7 Malt Wine,North ST Boston MA,"(42.3625638, -71.0544517)"
495,LB-99777,Active,CV7MWL,CV7 Malt Wine Liq.,Parmenter St Boston MA,"(42.363938, -71.055132)"
496,LB-125807,Active,CV7MWLR,CV7 Malt Wine Liq. Restrict.,Centre St Jamaica Plain MA,"(42.3094665, -71.115559)"
497,LB-99598,Active,CV7MW,CV7 Malt Wine,Commonwealth AV Boston MA,"(42.3491501, -71.0876189)"
498,LB-101664,Active,INNAL,Inn. All Alc.,Atlantic AV Boston MA,"(42.3577383, -71.0512701)"
499,LB-99250,Active,CV7AL,CV7 All Alc.,Tremont ST Boston MA,"(42.3582926, -71.0602525)"
500,LB-99685,Active,CV7MW,CV7 Malt Wine,Channel Center ST Boston MA,"(42.3463058, -71.0509723)"
501,LB-99682,Active,CV7MW,CV7 Malt Wine,Kneeland St Boston MA,"(42.3509207, -71.0626274)"
502,LB-99133,Active,CV7AL,CV7 All Alc.,Market ST Brighton MA,"(42.3503824, -71.1527106)"
503,LB-99189,Active,CV7AL,CV7 All Alc.,Park ST Charlestown MA,"(42.3731868, -71.0608094)"
504,LB-104345,Active,TAVAL,Tavern Licenses,Massachusetts Av Roxbury MA,"(42.3419059, -71.083554)"
505,LB-99798,Active,GOPMWL,GOP Malt Wine Liq.,Blue Hill Av Dorchester MA,"(42.280265, -71.092886)"
506,LB-99165,Active,CV7AL,CV7 All Alc.,Newbury ST Boston MA,"(42.3520749, -71.0733646)"
507,LB-99819,Active,CV7MWL,CV7 Malt Wine Liq.,Sumner ST East Boston MA,"(42.3686787, -71.0392784)"
508,LB-99531,Active,CV7MW,CV7 Malt Wine,Commonwealth AV Allston MA,"(42.3519534, -71.1234233)"
509,LB-99288,Active,CV7AL,CV7 All Alc.,Washington ST Roslindale MA,"(42.279549, -71.135535)"
510,LB-99336,Active,CV7AL,CV7 All Alc.,Kingston St Boston MA,"(42.3528032, -71.0594424)"
511,LB-99054,Active,CV7AL,CV7 All Alc.,E Berkeley ST Boston MA,"(42.344647, -71.068076)"
512,LB-99818,Active,CV7MWL,CV7 Malt Wine Liq.,Centre ST Jamaica Plain MA,"(42.3094665, -71.115559)"
513,LB-99236,Active,CV7AL,CV7 All Alc.,Stuart ST Boston MA,"(42.3504953, -71.0686605)"
514,LB-98962,Active,GOPAL,GOP All Alc.,Broadway St Boston MA,"(42.3498639, -71.0671807)"
515,LB-99611,Active,CV7MW,CV7 Malt Wine,Tyler ST Boston MA,"(42.3504593, -71.0608787)"
516,LB-99779,Active,CV7MWL,CV7 Malt Wine Liq.,Beacon ST Brighton MA,"(42.3367506, -71.1463481)"
517,LB-142552,Active,CV7ALN,CV7ALN - Neighborhood Restricted,Washington ST Boston MA,"(42.3440542, -71.1426459)"
518,LB-98879,Active,CV7ALA,CV7 All Alc. Airp.,Logan Airport Terminal C East Boston MA,"(42.3671318, -71.0178616)"
519,LB-98988,Active,CV7AL,CV7 All Alc.,Chelsea ST East Boston MA,"(42.4069649, -71.0552746)"
520,LB-98964,Active,CV7AL,CV7 All Alc.,Ipswich St Boston MA,"(42.3475184, -71.0900449)"
521,LB-99081,Active,CV7AL,CV7 All Alc.,Temple PL Boston MA,"(42.3551482, -71.0618916)"
522,LB-98890,Active,CV7AL,CV7 All Alc.,Atlantic AV Boston MA,"(42.3577383, -71.0512701)"
523,LB-99366,Active,CV7AL,CV7 All Alc.,Exeter ST Boston MA,"(42.3510642, -71.0802554)"
524,LB-162780,Active,CV7MWA,CV7 Malt Wine Airp.,Logan Airport Terminal C East Boston MA,"(42.3671318, -71.0178616)"
525,LB-99743,Active,CV7MWL,CV7 Malt Wine Liq.,Commonwealth AV Boston MA,"(42.3491501, -71.0876189)"
526,LB-157964,Active,CV7ALN,CV7ALN - Neighborhood Restricted,Adams St Dorchester MA,"(42.2588941, -71.0430771)"
527,LB-99784,Active,CV7MWL,CV7 Malt Wine Liq.,Newbury ST Boston MA,"(42.3520749, -71.0733646)"
528,LB-99033,Active,CV7AL,CV7 All Alc.,Dorchester AV Dorchester MA,"(42.3079919, -71.0583042)"
529,LB-99334,Active,CV7AL,CV7 All Alc.,Blue Hill AV Dorchester MA,"(42.280265, -71.092886)"
530,LB-99307,Active,CV7AL,CV7 All Alc.,Harrison Av Boston MA,"(42.3486597, -71.0623168)"
531,LB-98978,Active,CV7AL,CV7 All Alc.,Centre ST Roslindale MA,"(42.308977, -71.1210056)"
532,LB-99312,Active,CV7AL,CV7 All Alc.,Bennington ST East Boston MA,"(42.3846896, -71.0125438)"
533,LB-99516,Active,CV7MW,CV7 Malt Wine,Charles ST Boston MA,"(42.3003827, -71.0624746)"
534,LB-99333,Active,CV7AL,CV7 All Alc.,Dalton St Boston MA,"(42.3478661, -71.0855635)"
535,LB-99413,Active,CV7AL,CV7 All Alc.,Kingston ST Boston MA,"(42.3528032, -71.0594424)"
536,LB-99671,Active,CV7MW,CV7 Malt Wine,Marginal ST East Boston MA,"(42.367106, -71.039978)"
537,LB-99805,Active,CV7MWL,CV7 Malt Wine Liq.,Harvard AV Allston MA,"(42.3502469, -71.1314516)"
538,LB-99505,Active,CV7ALR,CV7 All Alc. Restrict.,Main St Charlestown MA,"(17.1385993, -62.6288555)"
539,LB-99168,Active,CV7AL,CV7 All Alc.,North ST Boston MA,"(42.3625638, -71.0544517)"
540,LB-99537,Active,CV7MW,CV7 Malt Wine,L ST South Boston MA,"(42.3364936, -71.0354335)"
541,LB-99628,Active,CV7MWL,CV7 Malt Wine Liq.,Sumner ST East Boston MA,"(42.3686787, -71.0392784)"
542,LB-98925,Active,CV7AL,CV7 All Alc.,Congress ST Boston MA,"(42.3525392, -71.0524452)"
543,LB-128814,Active,CV7AL,CV7 All Alc.,Commonwealth Av Brighton MA,"(42.3399223, -71.1598651)"
544,LB-99455,Active,CV7AL,CV7 All Alc.,Salem ST Boston MA,"(42.3664741, -71.0546855)"
545,LB-99612,Active,CV7MW,CV7 Malt Wine,Bennington ST East Boston MA,"(42.3846896, -71.0125438)"
546,LB-99793,Active,CV7MWL,CV7 Malt Wine Liq.,Salem ST Boston MA,"(42.3664741, -71.0546855)"
547,LB-98894,Active,CV7AL,CV7 All Alc.,Meridian ST East Boston MA,"(42.376352, -71.03915)"
548,LB-99439,Active,CV7AL,CV7 All Alc.,Mount Vernon ST Boston MA,"(42.3204982, -71.0500131)"
549,LB-99714,Active,CV7MWL,CV7 Malt Wine Liq.,Fleet St Boston MA,"(42.2389642, -71.1358766)"
550,LB-99734,Active,CV7MWL,CV7 Malt Wine Liq.,Bennington ST East Boston MA,"(42.3846896, -71.0125438)"
551,LB-99601,Active,CV7MW,CV7 Malt Wine,Centre ST Jamaica Plain MA,"(42.3094665, -71.115559)"
552,LB-99324,Active,CV7AL,CV7 All Alc.,Summer ST Boston MA,"(42.3536753, -71.0580245)"
553,LB-98874,Active,CV7ALA,CV7 All Alc. Airp.,Logan Airport Terminal B East Boston MA,"(42.3641511, -71.0194617)"
554,LB-98915,Active,CV7AL,CV7 All Alc.,Washington St Boston MA,"(42.3440542, -71.1426459)"
555,LB-99184,Active,CV7AL,CV7 All Alc.,Northern AV Boston MA,"(42.3485599, -71.0382116)"
556,LB-99316,Active,CV7AL,CV7 All Alc.,City SQ Charlestown MA,"(42.3718654, -71.0612168)"
557,LB-126408,Active,CV7ALA,CV7 All Alc. Airp.,Logan Airport Terminal B East Boston MA,"(42.3641511, -71.0194617)"
558,LB-98873,Active,CV7ALA,CV7 All Alc. Airp.,Logan Airport Terminal C East Boston MA,"(42.3671318, -71.0178616)"
559,LB-98916,Active,CV7AL,CV7 All Alc.,State ST Boston MA,"(42.3588444, -71.0572152)"
560,LB-98999,Active,CV7AL,CV7 All Alc.,Park Plaza Boston MA,"(42.35098145, -71.0696041543293)"
561,LB-99091,Active,CV7AL,CV7 All Alc.,Huntington Av Boston MA,"(42.3397762, -71.0906494)"
562,LB-99367,Active,CV7AL,CV7 All Alc.,Boylston ST Boston MA,"(42.3500548, -71.0774775)"
563,LB-123506,Active,CV7ALA,CV7 All Alc. Airp.,Logan Airport Terminal A East Boston MA,"(42.3649631, -71.0207667)"
564,LB-98834,Active,CLBALV,Clb. All Alc. Vet.,South ST Jamaica Plain MA,"(42.3007015, -71.1160968)"
565,LB-101622,Active,INNAL,Inn. All Alc.,Exeter ST Boston MA,"(42.3510642, -71.0802554)"
566,LB-99556,Active,CV7MW,CV7 Malt Wine,Brighton AV Allston MA,"(42.3535351, -71.1363711)"
567,LB-99221,Active,CV7AL,CV7 All Alc.,South ST Boston MA,"(42.3398175, -71.1575632)"
568,LB-99077,Active,CV7AL,CV7 All Alc.,Boylston ST Boston MA,"(42.3500548, -71.0774775)"
569,LB-99673,Active,CV7MW,CV7 Malt Wine,Washington ST Dorchester MA,"(42.2725848, -71.0695058)"
570,LB-101667,Active,INNAL,Inn. All Alc.,Charles ST Boston MA,"(42.3003827, -71.0624746)"
571,LB-99646,Active,CV7MW,CV7 Malt Wine,Tremont ST Boston MA,"(42.3582926, -71.0602525)"
572,LB-99706,Active,CV7MWL,CV7 Malt Wine Liq.,North ST Boston MA,"(42.3625638, -71.0544517)"
573,LB-99123,Active,CV7AL,CV7 All Alc.,Lincoln ST Brighton MA,"(42.3674961, -71.1715397)"
574,LB-101570,Active,CV7AL,CV7 All Alc.,Arlington ST Boston MA,"(42.3491713, -71.0695618)"
575,LB-98926,Active,CV7AL,CV7 All Alc.,Boylston ST Boston MA,"(42.3500548, -71.0774775)"
576,LB-99340,Active,CV7AL,CV7 All Alc.,Bennington ST East Boston MA,"(42.3846896, -71.0125438)"
577,LB-124751,Active,CV7AL,CV7 All Alc.,Washington St Boston MA,"(42.3440542, -71.1426459)"
578,LB-99512,Active,CV7MW,CV7 Malt Wine,Boylston St Boston MA,"(42.3500548, -71.0774775)"
579,LB-99073,Active,CV7AL,CV7 All Alc.,Tremont ST Boston MA,"(42.3582926, -71.0602525)"
580,LB-99037,Active,CV7AL,CV7 All Alc.,E Sixth ST South Boston MA,"(42.3331147, -71.035311)"
581,LB-99686,Active,CV7MW,CV7 Malt Wine,Hanover ST Boston MA,"(42.364779, -71.053461)"
582,LB-99304,Active,CV7AL,CV7 All Alc.,W Broadway South Boston MA,"(42.3423843, -71.0563744)"
583,LB-99712,Active,CV7MWL,CV7 Malt Wine Liq.,Salem ST Boston MA,"(42.3664741, -71.0546855)"
584,LB-101658,Active,INNAL,Inn. All Alc.,Berkeley ST Boston MA,"(42.3462276, -71.0706074)"
585,LB-131162,Active,CLBAL,Clb. All Alc.,Logan Airport Terminal C East Boston MA,"(42.3671318, -71.0178616)"
586,LB-99029,Active,CV7AL,CV7 All Alc.,Dartmouth ST Boston MA,"(42.3516529, -71.0781096)"
587,LB-101629,Active,INNAL,Inn. All Alc.,Longwood AV Boston MA,"(42.3371146, -71.1033983)"
588,LB-99154,Active,CV7AL,CV7 All Alc.,Lansdowne ST Boston MA,"(42.3471781, -71.0946909)"
589,LB-99835,Active,CV7MWL,CV7 Malt Wine Liq.,Meridian ST East Boston MA,"(42.376352, -71.03915)"
590,LB-99710,Active,CV7MWL,CV7 Malt Wine Liq.,Salem ST Boston MA,"(42.3664741, -71.0546855)"
591,LB-99063,Active,CV7AL,CV7 All Alc.,Northern Av Boston MA,"(42.3485599, -71.0382116)"
592,LB-99002,Active,CV7AL,CV7 All Alc.,Hanover ST Boston MA,"(42.364779, -71.053461)"
593,LB-99332,Active,CV7AL,CV7 All Alc.,Huntington AV Boston MA,"(42.3397762, -71.0906494)"
594,LB-99089,Active,CV7AL,CV7 All Alc.,Hanover ST Boston MA,"(42.364779, -71.053461)"
595,LB-99424,Active,CV7AL,CV7 All Alc.,Congress ST Boston MA,"(42.3525392, -71.0524452)"
596,LB-98881,Active,CV7ALA,CV7 All Alc. Airp.,Logan Airport Terminal A #26 East Boston MA,"(42.3644165, -71.0200532)"
597,LB-99482,Active,CV7ALA,CV7 All Alc. Airp.,Logan Airport Terminal E East Boston MA,"(42.369671, -71.022036)"
598,LB-99563,Active,CV7MWL,CV7 Malt Wine Liq.,Cambridge St Allston MA,"(42.3753849, -71.113648)"
599,LB-101595,Active,GOPMW,GOP Malt Wine,Clarendon ST Boston MA,"(42.3505799, -71.0751622)"
600,LB-99207,Active,CV7AL,CV7 All Alc.,River St Mattapan MA,"(42.2674143, -71.0943708)"
601,LB-99001,Active,CV7AL,CV7 All Alc.,Columbus AV Boston MA,"(42.3154539, -71.0981651)"
602,LB-99547,Active,CV7MW,CV7 Malt Wine,Brighton AV Allston MA,"(42.3535351, -71.1363711)"
603,LB-99655,Active,CV7MW,CV7 Malt Wine,Saratoga St East Boston MA,"(42.3865161, -71.0063664)"
604,LB-99178,Active,CV7AL,CV7 All Alc.,North SQ Boston MA,"(42.3638356, -71.0533980665982)"
605,LB-101670,Active,INNALR,Inn. All Alc. Restrict.,Boylston ST Boston MA,"(42.3500548, -71.0774775)"
606,LB-162571,Active,CV7AL,CV7 All Alc.,44 Mechanic Street Boston MA,"(42.3628570625, -71.055327)"
607,LB-99722,Active,CV7MWL,CV7 Malt Wine Liq.,Chelsea ST East Boston MA,"(42.4069649, -71.0552746)"
608,LB-99632,Active,CV7MW,CV7 Malt Wine,Centre ST Jamaica Plain MA,"(42.3094665, -71.115559)"
609,LB-99345,Active,CV7AL,CV7 All Alc.,Broad ST Boston MA,"(42.3586486, -71.0543732)"
610,LB-101642,Active,INNAL,Inn. All Alc.,Courtyard by Marriott Boston Logan Airport Boston MA,"(42.3873885, -71.0163438244336)"
611,LB-99414,Active,CV7AL,CV7 All Alc.,McKinley SQ Boston MA,"(42.3590934, -71.0532588)"
612,LB-101637,Active,INNAL,Inn. All Alc.,State ST Boston MA,"(42.3588444, -71.0572152)"
613,LB-99617,Active,CV7MW,CV7 Malt Wine,Huntington AV Boston MA,"(42.3397762, -71.0906494)"
614,LB-101579,Active,GOPAL,GOP All Alc.,Beacon ST Brighton MA,"(42.3367506, -71.1463481)"
615,LB-99116,Active,CV7AL,CV7 All Alc.,Tremont St Boston MA,"(42.3582926, -71.0602525)"
616,LB-99788,Active,CV7MWL,CV7 Malt Wine Liq.,Corey ST West Roxbury MA,"(42.300446, -71.169809)"
617,LB-99437,Active,CV7AL,CV7 All Alc.,Summer St Boston MA,"(42.3536753, -71.0580245)"
618,LB-99361,Active,CV7AL,CV7 All Alc.,Endicott ST Boston MA,"(42.3636006, -71.0572203)"
619,LB-99022,Active,CV7AL,CV7 All Alc.,Province St Boston MA,"(42.357137, -71.059849)"
620,LB-99719,Active,CV7MWL,CV7 Malt Wine Liq.,Hanover ST Boston MA,"(42.364779, -71.053461)"
621,LB-138053,Active,CV7ALN,CV7ALN - Neighborhood Restricted,Maverick ST East Boston MA,"(42.3700631, -71.0388361)"
622,LB-98918,Active,CV7AL,CV7 All Alc.,Faneuil Hall Marketplace Boston MA,"(42.3598941, -71.0558306)"
623,LB-99102,Active,CV7AL,CV7 All Alc.,Boylston St Boston MA,"(42.3500548, -71.0774775)"
624,LB-99402,Active,CV7AL,CV7 All Alc.,Faneuil Hall Marketplace Boston MA,"(42.3598941, -71.0558306)"
625,LB-98903,Active,CV7AL,CV7 All Alc.,Portland ST Boston MA,"(42.3636494, -71.0610093)"
626,LB-99198,Active,CV7AL,CV7 All Alc.,Boylston St Boston MA,"(42.3500548, -71.0774775)"
627,LB-101578,Active,GOPAL,GOP All Alc.,Chelsea ST East Boston MA,"(42.4069649, -71.0552746)"
628,LB-139202,Active,CV7MWL,CV7 Malt Wine Liq.,Park DR Boston MA,"(42.3438138, -71.103239)"
629,LB-99806,Active,CV7MWL,CV7 Malt Wine Liq.,Blue Hill AV Roxbury MA,"(42.307571, -71.083721)"
630,LB-99393,Active,CV7AL,CV7 All Alc.,Appleton ST Boston MA,"(42.3456544, -71.0727556)"
631,LB-99030,Active,CV7AL,CV7 All Alc.,Dartmouth ST Boston MA,"(42.3516529, -71.0781096)"
632,LB-134078,Active,CV7ALR,CV7 All Alc. Restrict.,Tremont St Roxbury MA,"(42.3314388, -71.0945931)"
633,LB-99362,Active,CV7AL,CV7 All Alc.,Prince ST Boston MA,"(42.316097, -71.123632)"
634,LB-99807,Active,CV7MWL,CV7 Malt Wine Liq.,Saratoga ST East Boston MA,"(42.3865161, -71.0063664)"
635,LB-99814,Active,CV7MWL,CV7 Malt Wine Liq.,Border St East Boston MA,"(42.374995, -71.0398458)"
636,LB-99605,Active,CV7MW,CV7 Malt Wine,683 Vfw Pkwy Boston MA,"(42.274579, -71.173725)"
637,LB-99105,Active,CV7AL,CV7 All Alc.,Huntington AV Boston MA,"(42.3397762, -71.0906494)"
638,LB-99400,Active,CV7AL,CV7 All Alc.,Columbus AV Boston MA,"(42.3154539, -71.0981651)"
639,LB-99157,Active,CV7AL,CV7 All Alc.,Columbus AV Boston MA,"(42.3154539, -71.0981651)"
640,LB-99176,Active,CV7AL,CV7 All Alc.,N Beacon ST Allston MA,"(42.354502, -71.1425762)"
641,LB-99720,Active,CV7MWL,CV7 Malt Wine Liq.,Hanover ST Boston MA,"(42.364779, -71.053461)"
642,LB-99162,Active,CV7AL,CV7 All Alc.,Winter ST Boston MA,"(42.3080665, -71.0625902)"
643,LB-99559,Active,CV7MW,CV7 Malt Wine,Dudley ST Roxbury MA,"(42.3286522, -71.0834488)"
644,LB-99489,Active,CV7ALR,CV7 All Alc. Restrict.,Richmond ST Boston MA,"(42.363096, -71.054075)"
645,LB-99828,Active,CV7MWL,CV7 Malt Wine Liq.,Prince St Boston MA,"(42.316097, -71.123632)"
646,LB-99869,Active,CV7MWR,CV7 Malt Wine Restrict.,Huntington AV Boston MA,"(42.3397762, -71.0906494)"
647,LB-99239,Active,CV7AL,CV7 All Alc.,Stuart ST Boston MA,"(42.3504953, -71.0686605)"
648,LB-99629,Active,CV7MW,CV7 Malt Wine,Chestnut Hill AV Brighton MA,"(42.338352, -71.1528837)"
649,LB-99075,Active,CV7AL,CV7 All Alc.,Dorchester AV South Boston MA,"(42.3079919, -71.0583042)"
650,LB-99445,Active,CV7AL,CV7 All Alc.,Seaport LA Boston MA,"(42.3502036, -71.0427412)"
651,LB-99356,Active,CV7AL,CV7 All Alc.,Hanover ST Boston MA,"(42.364779, -71.053461)"
652,LB-142546,Active,CLBAL,Clb. All Alc.,Washington ST West Roxbury MA,"(42.2491675, -71.1722316)"
653,LB-98960,Active,CV7AL,CV7 All Alc.,Broad ST Boston MA,"(42.3586486, -71.0543732)"
654,LB-99765,Active,CV7MWL,CV7 Malt Wine Liq.,Massachusetts Av Boston MA,"(42.3490087, -71.0885814)"
655,LB-99243,Active,CV7AL,CV7 All Alc.,Summer ST South Boston MA,"(42.3464037, -71.0422965)"
656,LB-99104,Active,CV7AL,CV7 All Alc.,Huntington Av Boston MA,"(42.3397762, -71.0906494)"
657,LB-99817,Active,CV7MWL,CV7 Malt Wine Liq.,Harvard Av Allston MA,"(42.3502469, -71.1314516)"
658,LB-98910,Active,CV7AL,CV7 All Alc.,Bennington ST East Boston MA,"(42.3846896, -71.0125438)"
659,LB-99286,Active,CV7AL,CV7 All Alc.,Washington ST Roslindale MA,"(42.279549, -71.135535)"
660,LB-99791,Active,CV7MWL,CV7 Malt Wine Liq.,First AV Charlestown MA,"(42.3754626, -71.053528)"
661,LB-99179,Active,CV7AL,CV7 All Alc.,Atlantic AV Boston MA,"(42.3577383, -71.0512701)"
662,LB-99128,Active,CV7AL,CV7 All Alc.,Faneuil Hall Market PL Boston MA,"(42.3598941, -71.0558306)"
663,LB-99541,Active,CV7MW,CV7 Malt Wine,Salem ST Boston MA,"(42.3664741, -71.0546855)"
664,LB-99718,Active,CV7MWL,CV7 Malt Wine Liq.,Beach ST Boston MA,"(42.3508125, -71.0580971)"
665,LB-99592,Active,CV7MW,CV7 Malt Wine,Hudson ST Boston MA,"(42.3481247, -71.0611242)"
666,LB-99582,Active,CV7MW,CV7 Malt Wine,Edinboro ST Boston MA,"(42.35172, -71.059691)"
667,LB-101665,Active,INNAL,Inn. All Alc.,Newbury ST Boston MA,"(42.3520749, -71.0733646)"
668,LB-99149,Active,CV7AL,CV7 All Alc.,Maverick ST East Boston MA,"(42.3700631, -71.0388361)"
669,LB-99525,Active,CV7MW,CV7 Malt Wine,Harry Agganis Wy Boston MA,"(42.3535724, -71.1180991)"
670,LB-99271,Active,CV7AL,CV7 All Alc.,Warrenton ST Boston MA,"(42.3502692, -71.0660021)"
671,LB-99742,Active,CV7MWL,CV7 Malt Wine Liq.,Hanover ST Boston MA,"(42.364779, -71.053461)"
672,LB-101655,Active,INNAL,Inn. All Alc.,Tremont ST Boston MA,"(42.3582926, -71.0602525)"
673,LB-99602,Active,CV7MW,CV7 Malt Wine,Charles ST Boston MA,"(42.3003827, -71.0624746)"
674,LB-99801,Active,CV7MWL,CV7 Malt Wine Liq.,Boston Fish Pier Boston MA,"(42.3498324, -71.0389745)"
675,LB-99417,Active,CV7AL,CV7 All Alc.,Park ST Boston MA,"(42.3731868, -71.0608094)"
676,LB-99319,Active,CV7AL,CV7 All Alc.,Arch St Boston MA,"(42.3553648, -71.0581312)"
677,LB-99590,Active,CV7MW,CV7 Malt Wine,Centre ST Jamaica Plain MA,"(42.3094665, -71.115559)"
678,LB-99422,Active,CV7AL,CV7 All Alc.,Washington ST Roxbury MA,"(42.331863, -71.1159534)"
679,LB-99495,Active,CV7ALR,CV7 All Alc. Restrict.,East ST Boston MA,"(42.3514551, -71.056756)"
680,LB-99262,Active,CV7AL,CV7 All Alc.,A ST BOSTON MA,"(42.3406301, -71.0571031)"
681,LB-99094,Active,CV7AL,CV7 All Alc.,Harvard AV Allston MA,"(42.3502469, -71.1314516)"
682,LB-99051,Active,CV7AL,CV7 All Alc.,Seaport Bl Boston MA,"(42.3502036, -71.0427412)"
683,LB-99486,Active,CV7ALR,CV7 All Alc. Restrict.,Washington ST Roxbury MA,"(42.331863, -71.1159534)"
684,LB-99660,Active,CV7MW,CV7 Malt Wine,Chelsea ST East Boston MA,"(42.4069649, -71.0552746)"
685,LB-146396,Active,CV7MWLN,CV7MWLN - Neighborhood Restricted,Central Sq East Boston MA,"(42.3750202, -71.0393784)"
686,LB-101657,Active,INNAL,Inn. All Alc.,Portland ST Boston MA,"(42.3636494, -71.0610093)"
687,LB-155925,Active,CV7MWR,CV7 Malt Wine Restrict.,Harvard Av Allston MA,"(42.3502469, -71.1314516)"
688,LB-99656,Active,CV7MWL,CV7 Malt Wine Liq.,Shawmut AV Roxbury MA,"(42.328666, -71.0861827)"
689,LB-99396,Active,CV7AL,CV7 All Alc.,Charles Street South Boston MA,"(42.3521717, -71.0673903)"
690,LB-99076,Active,CV7AL,CV7 All Alc.,Gainsborough St Boston MA,"(42.3408979, -71.085662)"
691,LB-99479,Active,CV7ALA,CV7 All Alc. Airp.,Logan Airport Terminal B East Boston MA,"(42.3641511, -71.0194617)"
692,LB-99020,Active,CV7AL,CV7 All Alc.,Park Plaza Boston MA,"(42.35098145, -71.0696041543293)"
693,LB-99164,Active,CV7AL,CV7 All Alc.,Boylston ST Boston MA,"(42.3500548, -71.0774775)"
694,LB-99607,Active,CV7MW,CV7 Malt Wine,Boylston St Boston MA,"(42.3500548, -71.0774775)"
695,LB-99052,Active,CV7AL,CV7 All Alc.,Union St Boston MA,"(42.346181, -71.152921)"
696,LB-99707,Active,CV7MWL,CV7 Malt Wine Liq.,Parmenter St Boston MA,"(42.363938, -71.055132)"
697,LB-99322,Active,CV7AL,CV7 All Alc.,Temple Pl Boston MA,"(42.3551482, -71.0618916)"
698,LB-99603,Active,CV7MW,CV7 Malt Wine,Charles ST Boston MA,"(42.3003827, -71.0624746)"
699,LB-99560,Active,CV7MW,CV7 Malt Wine,Hanover ST Boston MA,"(42.364779, -71.053461)"
700,LB-99867,Active,CV7MWLR,CV7 Malt Wine Liq. Restrict.,Main St Charlestown MA,"(17.1385993, -62.6288555)"
701,LB-99163,Active,CV7AL,CV7 All Alc.,Newbury ST Boston MA,"(42.3520749, -71.0733646)"
702,LB-99721,Active,CV7MWL,CV7 Malt Wine Liq.,Richmond St Boston MA,"(42.363096, -71.054075)"
703,LB-99370,Active,CV7AL,CV7 All Alc.,West ST Boston MA,"(42.261858, -71.122748)"
704,LB-99502,Active,CV7ALR,CV7 All Alc. Restrict.,Summer ST Boston MA,"(42.3536753, -71.0580245)"
705,LB-101571,Active,GOPAL,GOP All Alc.,Commonwealth AV BRIGHTON/ALLSTON MA,"(42.3428624, -71.1433738)"
706,LB-99642,Active,CV7MW,CV7 Malt Wine,Dudley St Dorchester MA,"(42.3179996, -71.067301)"
707,LB-99600,Active,CV7MWL,CV7 Malt Wine Liq.,Hanover St Boston MA,"(42.364779, -71.053461)"
708,LB-99452,Active,CV7AL,CV7 All Alc.,Rowes Wharf Boston MA,"(42.3557276, -71.0499095)"
709,LB-99045,Active,CV7AL,CV7 All Alc.,Congress ST Boston MA,"(42.3525392, -71.0524452)"
710,LB-99011,Active,CV7AL,CV7 All Alc.,Brighton AV Allston MA,"(42.3535351, -71.1363711)"
711,LB-98974,Active,CV7AL,CV7 All Alc.,Legends WY Boston MA,"(42.3658665, -71.0607934)"
712,LB-99524,Active,CV7MW,CV7 Malt Wine,Tyler ST Boston MA,"(42.3504593, -71.0608787)"
713,LB-99035,Active,CV7AL,CV7 All Alc.,Dorchester AV Dorchester MA,"(42.3079919, -71.0583042)"
714,LB-99725,Active,CV7MWL,CV7 Malt Wine Liq.,Prince St Boston MA,"(42.316097, -71.123632)"
715,LB-99532,Active,CV7MW,CV7 Malt Wine,Washington ST Boston MA,"(42.3440542, -71.1426459)"
716,LB-98995,Active,CV7AL,CV7 All Alc.,Columbus Av Roxbury MA,"(42.3154539, -71.0981651)"
717,LB-99313,Active,CV7AL,CV7 All Alc.,William T Morrissey Blvd Dorchester MA,"(42.3002439, -71.0493226)"
718,LB-99577,Active,CV7MW,CV7 Malt Wine,Huntington AV Boston MA,"(42.3397762, -71.0906494)"
719,LB-99581,Active,CV7MW,CV7 Malt Wine,Dorchester AV Dorchester MA,"(42.3079919, -71.0583042)"
720,LB-99657,Active,CV7MW,CV7 Malt Wine,Beach ST Boston MA,"(42.3508125, -71.0580971)"
721,LB-135034,Active,CV7ALN,CV7ALN - Neighborhood Restricted,Dorchester AV Dorchester MA,"(42.3079919, -71.0583042)"
722,LB-99613,Active,CV7MW,CV7 Malt Wine,Washington St Boston MA,"(42.3440542, -71.1426459)"
723,LB-137901,Active,CV7MWN,CV7MWN - Neighborhood Restricted,Adams ST Dorchester MA,"(42.2588941, -71.0430771)"
724,LB-99564,Active,CV7MW,CV7 Malt Wine,Centre St West Roxbury MA,"(42.2875094, -71.1524339)"
